activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
JOB057,CTR009,Construction,SEC:YBET:H02_S15:EB,SEC:YBET:S15_S16:EB,7,2027-04-12,,3
JOB058,CTR010,Construction,SEC:XALP:S03_S04:WB,SEC:XALP:H01_H02:WB,7,2027-01-11,,3
JOB059,CTR010,Construction,SEC:XALP:S06_S07:WB,SEC:XALP:S07_S08:WB,7,2027-04-05,,3
JOB060,CTR010,Construction,SEC:YBET:H02_S15:EB,SEC:YBET:S15_S16:EB,3,2027-03-29,,2
JOB061,CTR010,Construction,SEC:YBET:H01_H02:EB,SEC:YBET:H02_S15:EB,7,2027-01-25,,1
JOB063,CTR010,Construction,SEC:YBET:S14_H01:EB,SEC:YBET:H01_H02:EB,1,2027-02-01,,3
JOB064,CTR010,Construction,SEC:YBET:S15_S16:WB,SEC:YBET:S15_S16:WB,1,2027-04-19,,3
JOB065,CTR011,Renewal,SEC:YBET:S12_S13:WB,SEC:YBET:S12_S13:WB,1,2027-05-10,,2
JOB066,CTR011,Renewal,SEC:XALP:S02_S03:WB,SEC:XALP:S04_H01:WB,1,2027-06-21,JOB065,3
JOB069,CTR011,Renewal,SEC:XALP:S03_S04:WB,SEC:XALP:H01_H02:WB,2,2027-03-01,,2
JOB070,CTR011,Renewal,SEC:XALP:S03_S04:WB,SEC:XALP:S04_H01:WB,5,2027-03-15,,1
JOB071,CTR011,Renewal,SEC:YBET:S15_S16:EB,SEC:YBET:S16_S17:EB,1,2027-04-12,,1
JOB072,CTR012,Construction,SEC:XALP:S04_H01:EB,SEC:XALP:H01_H02:EB,1,2027-06-07,,2
JOB073,CTR012,Construction,SEC:YBET:H01_H02:EB,SEC:YBET:H02_S15:EB,1,2027-05-31,,3
JOB074,CTR013,Renewal,SEC:XALP:H01_H02:EB,SEC:XALP:H01_H02:EB,1,2027-05-10,,2
JOB075,CTR014,Construction,SEC:YBET:H01_H02:WB,SEC:YBET:H01_H02:WB,1,2027-06-14,,3
